,en,en_perso,fr,fr_perso,es,de
aa,0.021315,0.00089,0.03016,0.00068,0.30181,0.0481
ab,0.216365,0.22765,0.1772,0.12709,0.38295,0.34637
ac,0.430915,0.53431,0.39813,0.42273,0.95597,0.2746
ad,0.356005,0.39772,0.19682,0.08631,1.43476,0.1217
ae,0.015635,0.02076,0.04125,0.00612,0.45436,0.02306
af,0.103045,0.0982,0.11576,0.03636,0.15573,0.13047
ag,0.20422,0.20511,0.24665,0.19879,0.16351,0.34539
ah,0.03255,0.00759,0.01989,0.01767,0.11934,0.24503
ai,0.319815,0.38478,0.81282,1.60937,0.18087,0.07415
aj,0.01594,0.00558,0.02776,0.0299,0.11895,0.00382
ak,0.111755,0.12677,0.01731,0.01257,0.01531,0.08291
al,0.985565,1.05836,0.62126,0.54031,1.33221,0.61816
am,0.327165,0.26046,0.27124,0.15496,0.52853,0.35149
an,1.799385,1.8855,1.28698,1.34975,1.23958,1.06569
ao,0.01098,0.00268,0.01779,0.00204,0.08367,0.00435
ap,0.200335,0.20444,0.36327,0.19403,0.47383,0.05427
aq,0.004765,0.00067,0.04494,0.03602,0.15793,0.00178
ar,1.02718,0.98627,0.881,0.81318,1.42873,0.53914
as,0.87233,0.76085,0.38263,0.67691,1.55789,0.6008
at,1.301565,1.42729,0.63812,0.52366,0.42066,0.44265
au,0.11599,0.09865,0.6015,0.76187,0.22232,0.88872
av,0.19831,0.29037,0.30029,0.50633,0.17736,0.02944
aw,0.075275,0.04821,0.00819,0.00544,0.00423,0.01674
ax,0.01706,0.0741,0.01244,0.01155,0.00695,0.01246
ay,0.241925,0.1906,0.05469,0.04078,0.23584,0.02031
az,0.01482,0.00402,0.01781,0.00782,0.08457,0.0315
aé,0,0,0.03506,0.0051,0,0
aè,0,0,0.00069,0,0,0
aê,0,0,0.00055,0,0,0
aà,0,0,0.00817,0,0,0
aç,0,0,0.00903,0.01155,0,0
aâ,0,0,0.00011,0,0,0
aî,0,0,0.02761,0.02888,0,0
aô,0,0,0.00026,0,0,0
a.,0,0.0462,0,0.03228,0,0
"a,",0,0.01562,0,0.0333,0,0
a-,0,0.01428,0,0.01291,0,0
a',0,0.00089,0,0,0,0
a/,0,0.00246,0,0.00068,0,0
ba,0.175635,0.11182,0.14735,0.13797,0.3059,0.20345
bb,0.013435,0.00692,0.00764,0.00476,0.00401,0.01239
bc,0.00465,0.00201,0.00213,0.00136,0.00277,0.00278
bd,0.002875,0.00335,0.00586,0.00306,0.00355,0.01595
be,0.513255,0.60797,0.09895,0.15156,0.13462,1.17489
bf,0.000945,0.01495,0.00083,0.00748,0.00026,0.00609
bg,0.0006,0,0.00039,0,0.00024,0.0232
bh,0.002315,0.00022,0.00103,0,0.00051,0.01014
bi,0.103675,0.08102,0.11143,0.13831,0.25234,0.17174
bj,0.01488,0.01049,0.01047,0.00374,0.00986,0.00489
bk,0.000355,0,0.00052,0,0.00017,0.00481
bl,0.19696,0.29104,0.1875,0.29122,0.16146,0.08433
bm,0.003785,0.0029,0.00138,0,0.0011,0.00803
bn,0.00227,0.00179,0.00184,0.00442,0.00094,0.0161
bo,0.192205,0.20199,0.10386,0.21238,0.08561,0.05871
bp,0.001605,0,0.00134,0.00102,0.00068,0.00253
bq,0.00007,0,0.00041,0,0.00038,0.00009
br,0.109215,0.11561,0.1493,0.19064,0.22072,0.11698
bs,0.039215,0.03437,0.02139,0.02447,0.01665,0.07151
bt,0.0135,0.00826,0.01077,0.0068,0.00544,0.04699
bu,0.186285,0.23747,0.06841,0.05199,0.06638,0.11062
bv,0.00331,0.01406,0.00097,0.0017,0.00397,0.00511
bw,0.00177,0,0.00037,0,0.00014,0.01341
bx,0.00005,0,0.00007,0,0.00001,0.00008
by,0.148735,0.15221,0.00594,0.00306,0.00149,0.00488
bz,0.000115,0,0.00017,0,0.00052,0.00873
bé,0,0,0.02165,0.01291,0,0
bè,0,0.00022,0.00129,0.00068,0,0
bê,0,0,0.00077,0.00544,0,0
bà,0,0,0.00026,0,0,0
bç,0,0,0,0,0,0
bâ,0,0,0.0074,0.00306,0,0
bî,0,0,0.0002,0,0,0
bô,0,0,0.00007,0,0,0
b.,0,0.01585,0,0.01257,0,0
"b,",0,0.0058,0,0.00951,0,0
b-,0,0.00223,0,0.00374,0,0
b',0,0,0,0,0,0
b/,0,0.00112,0,0.00034,0,0
ca,0.49954,0.51088,0.29405,0.25316,0.77888,0.03294
cb,0.00376,0.01205,0.00328,0.0085,0.00104,0.00335
cc,0.076565,0.08593,0.07639,0.1118,0.06678,0.00377
cd,0.00526,0.00491,0.02389,0.0034,0.00376,0.01252
ce,0.5547,0.61176,0.70484,0.93585,0.37469,0.03386
cf,0.0038,0.00223,0.00489,0.00442,0.00287,0.00133
cg,0.002545,0.01161,0.00234,0.00612,0.00091,0.00125
ch,0.53168,0.55619,0.42194,0.5138,0.18784,2.36343
ci,0.2384,0.14641,0.28163,0.24093,1.15011,0.01248
cj,0.000535,0,0.00167,0,0.00038,0.00024
ck,0.14213,0.23792,0.02435,0.07918,0.00674,0.16987
cl,0.14022,0.11539,0.14243,0.10194,0.09341,0.01192
cm,0.00464,0.0029,0.00764,0.00068,0.00238,0.00236
cn,0.002605,0.00625,0.00418,0.00748,0.01286,0.00147
