,vrac_fr,mails_en,mails_fr,vrac_en
aa,2,0,0,4
ab,186,573,188,447
ac,366,1409,878,985
ad,143,723,111,1059
ae,14,4,4,89
af,64,188,43,252
ag,264,316,321,603
ah,42,1,10,33
ai,2161,645,2575,1079
aj,21,13,67,12
ak,12,333,25,235
al,680,2387,910,2355
am,324,480,132,687
an,1975,4020,1997,4428
ao,4,2,2,10
ap,225,254,346,662
aq,52,0,54,3
ar,1128,1895,1265,2524
as,572,1536,1420,1873
at,609,3582,932,2813
au,866,203,1376,239
av,561,730,929,571
aw,0,117,16,99
ax,1,85,33,247
ay,87,375,33,479
az,7,10,16,8
aé,13,0,2,0
aè,0,0,0,0
aê,0,0,0,0
aà,0,0,0,0
aç,12,0,22,0
aâ,0,0,0,0
aî,75,0,10,0
aô,0,0,0,0
a.,27,47,68,160
"a,",59,37,39,33
a-,15,31,23,33
a',0,0,0,4
a/,0,10,2,1
ba,261,261,145,240
bb,1,10,13,21
bc,1,7,3,2
bd,7,14,2,1
be,204,1412,242,1312
bf,0,67,22,0
bg,0,0,0,0
bh,0,0,0,1
bi,169,134,238,229
bj,9,26,2,21
bk,0,0,0,0
bl,249,852,608,452
bm,0,1,0,12
bn,0,8,13,0
bo,189,486,436,419
bp,0,0,3,0
bq,0,0,0,0
br,278,289,283,229
bs,23,45,49,109
bt,10,6,10,31
bu,52,522,101,542
bv,0,53,5,10
bw,0,0,0,0
bx,0,0,0,0
by,6,286,3,396
bz,0,0,0,0
bé,32,0,6,0
bè,2,0,0,1
bê,10,0,6,0
bà,0,0,0,0
bç,0,0,0,0
bâ,9,0,0,0
bî,0,0,0,0
bô,0,0,0,0
b.,2,21,35,50
"b,",0,14,28,12
b-,0,6,11,4
b',0,0,0,0
b/,0,2,1,3
ca,389,1145,356,1144
cb,0,54,25,0
cc,133,231,196,154
cd,3,21,7,1
ce,1028,1293,1726,1448
cf,9,8,4,2
cg,0,15,18,37
ch,748,1109,764,1383
ci,300,310,409,346
cj,0,0,0,0
ck,3,602,230,464
cl,137,315,163,202
cm,0,9,2,4
cn,0,27,22,1
co,1010,1275,1552,1518
cp,0,4,0,0
cq,3,5,1,20
cr,219,456,352,448
cs,19,71,14,101
ct,174,1170,637,879
cu,211,504,238,473
cv,0,4,1,0
cw,0,57,48,0
cx,0,0,1,0
cy,3,29,24,55
cz,0,0,0,1
cé,64,4,56,1
cè,17,0,17,0
cê,0,0,0,0
cà,0,0,0,0
cç,0,0,0,0
câ,1,0,7,0
cî,0,0,0,0
cô,32,0,33,0
c.,7,56,39,75
"c,",29,38,42,12
c-,0,0,2,14
c',100,0,6,1
c/,0,0,0,0
da,464,689,508,336
db,0,44,4,1
dc,7,0,0,3
dd,2,142,9,136
de,2771,1504,3209,1923
df,0,22,15,4
dg,2,27,10,57
dh,9,2,2,0
di,680,775,603,1307
dj,1,14,1,11
dk,0,0,0,0
dl,0,47,2,92
dm,8,68,53,32
dn,7,81,0,34
do,292,723,509,420
dp,0,35,29,2
dq,0,24,16,0
dr,177,223,403,244
ds,56,369,183,381
dt,1,50,17,13
du,430,246,549,397
dv,0,12,2,51
dw,0,0,0,38
dx,0,1,1,3
dy,2,240,4,188
dz,0,0,0,0
dé,347,0,599,0
dè,18,0,24,0
dê,0,0,0,0
dà,0,0,0,0
dç,0,0,0,0
dâ,0,0,0,1
dî,4,0,0,0
dô,2,0,0,0
d.,16,290,97,254
"d,",54,182,81,256
d-,5,11,8,40
d',367,0,7,3
d/,0,5,1,21
ea,183,1295,296,1508
eb,23,31,24,80
ec,248,938,711,897
ed,76,2736,390,2647
ee,4,1725,330,924
ef,73,413,145,413
eg,41,68,62,160
eh,20,19,2,30
ei,220,222,68,332
ej,17,11,6,7
ek,2,111,2,26
el,618,1150,769,1198
em,683,981,1132,548
en,2767,2271,3254,2900
eo,21,80,2,72
ep,159,343,150,293
eq,13,276,36,131
er,1541,3001,2411,4017
es,3279,2294,4944,2951
et,1286,1054,1491,980
eu,1136,67,1050,70
ev,189,434,153,483
ew,7,402,21,169
ex,161,330,158,356
ey,16,297,11,277
ez,120,14,182,7
eé,0,0,0,0
eè,0,0,0,0
eê,0,0,0,0
eà,0,0,0,0
eç,11,0,14,0
eâ,2,0,0,1
eî,0,0,0,0
eô,0,0,0,0
e.,390,479,600,453
"e,",870,411,415,487
e-,73,82,55,82
e',0,1,0,21
e/,0,7,10,6
fa,295,243,815,342
fb,0,0,0,0
fc,1,4,2,0
fd,8,7,4,2
fe,167,376,166,507
ff,124,236,218,391
fg,0,0,0,12
fh,0,0,0,0
fi,247,783,520,1005
fj,0,0,0,0
fk,0,0,0,0
fl,64,251,99,464
fm,0,3,2,0
fn,0,1,0,9
fo,261,1543,253,1546
fp,9,2,0,0
fq,0,0,0,0
fr,221,398,71,400
fs,8,12,26,3
ft,15,228,49,432
fu,92,104,77,253
fv,0,0,0,0
fw,0,155,102,2
fx,0,0,1,5
fy,0,64,0,14
fz,0,0,0,0
fé,42,0,82,0
fè,1,0,8,0
fê,6,0,0,0
fà,0,0,0,0
fç,0,0,0,0
fâ,3,0,0,0
fî,0,0,0,0
fô,0,0,0,0
f.,6,37,18,18
"f,",14,26,15,12
f-,0,6,5,16
f',0,0,0,2
f/,0,4,0,0
ga,178,149,157,172
gb,0,1,3,5
gc,0,9,3,3
gd,0,1,0,18
ge,372,855,598,904
gf,0,6,3,0
gg,1,16,5,52
gh,1,400,18,592
gi,122,192,66,332
gj,0,0,0,0
gk,9,0,0,2
gl,52,79,57,315
gm,5,20,28,1
gn,157,256,207,326
go,77,249,9,177
gp,0,2,1,5
gq,0,0,0,1
gr,220,212,189,311
gs,8,86,22,105
gt,34,81,6,40
gu,122,122,100,330
gv,2,0,0,0
gw,0,0,0,1
gx,0,0,0,0
gy,5,1,0,15
gz,0,0,0,1
gé,62,0,143,0
gè,8,0,11,0
gê,4,0,9,0
gà,0,0,0,0
gç,0,0,0,0
gâ,1,0,0,0
gî,1,0,0,0
gô,0,0,0,0
g.,7,125,29,236
"g,",8,70,18,159
g-,1,5,1,32
g',0,0,0,1
g/,0,4,1,23
ha,365,2874,416,1885
hb,0,2,0,11
hc,0,0,0,1
hd,0,42,51,14
he,469,7424,327,7743
hf,0,8,0,2
hg,0,0,0,0
hh,0,0,3,0
hi,111,942,152,1844
hj,0,0,0,0
hk,0,5,2,0
hl,2,9,1,22
hm,4,39,0,50
hn,20,52,38,40
ho,169,903,149,1223
hp,0,6,0,0
hq,0,0,0,0
hr,27,91,28,127
hs,0,72,4,32
ht,10,237,9,391
hu,57,16,20,102
hv,0,3,0,0
hw,0,0,0,6
hx,0,0,0,0
hy,9,47,17,30
hz,0,0,0,0
hé,64,1,48,0
hè,13,0,6,0
hê,3,0,0,0
hà,0,0,0,0
hç,0,0,0,0
hâ,5,0,0,0
hî,0,0,0,0
hô,34,0,0,0
h.,8,55,7,45
"h,",9,24,8,68
h-,0,1,1,27
h',0,0,0,5
h/,0,2,0,0
ia,152,301,129,553
ib,89,185,111,488
ic,257,981,301,1404
id,153,816,333,754
ie,1224,402,985,615
if,107,683,308,648
ig,211,592,277,1155
ih,0,0,0,7
ii,55,1,4,2
ij,1,1,0,6
ik,2,153,6,94
