,vrac_fr,mails_en,mails_fr,vrac_en
a,12335,21755,16576,23732
b,1516,4647,2372,4317
c,4835,9127,8186,9189
d,5996,10667,8064,11657
e,21986,35760,29943,35309
f,1642,6031,2644,7672
g,1493,4453,1839,6514
h,1424,14064,1386,15207
i,11125,19469,14021,22246
j,636,364,1830,275
k,90,2376,384,1643
l,8957,12323,11197,12737
m,3976,6948,6076,7822
n,10850,18070,14674,19549
o,7822,20309,12507,20298
p,4055,5667,7954,6042
q,1522,523,2403,359
r,10557,14765,14273,16951
s,11938,17530,17373,19149
t,10995,28915,14520,27174
u,9134,7403,13601,7750
v,2447,2934,3654,2744
w,37,5778,338,5179
x,722,513,631,968
y,452,3866,754,4264
z,279,203,303,301
é,3020,15,3479,10
è,527,3,506,1
ê,267,0,358,1
à,815,3,1018,0
ç,133,6,468,0
â,100,0,14,8
î,97,0,10,0
ô,106,0,72,0
.,1416,4381,3295,4956
",",3037,2985,2479,3662
-,842,1217,1062,964
',1645,8,37,257
/,8,124,81,274
